"cnty_fips","cnty_id","cnty_name","cnty_abbr","Total Number","Lower 95% Limit","Upper 95% Limit","Age Adj. Rate per 10000"
"06000","00","CALIFORNIA","","33020","8.90","9.10","9.00"
"06001","01","Alameda","AL","2155","14.04","15.29","14.66"
"06003","02","Alpine","AP","null","null","null","null"
"06005","03","Amador","AM","null","null","null","null"
"06007","04","Butte","BU","200","8.20","10.95","9.50"
"06009","05","Calaveras","CA","16","1.83","5.80","3.42"
"06011","06","Colusa","CO","19","5.61","14.67","9.38"
"06013","07","Contra Costa","CC","1049","9.69","10.96","10.31"
"06015","08","Del Norte","DN","21","4.63","11.58","7.55"
"06017","09","El Dorado","ED","108","5.11","7.67","6.30"
"06019","10","Fresno","FR","945","9.65","11.00","10.31"
"06021","11","Glenn","GL","28","6.60","14.45","9.98"
"06023","12","Humboldt","HU","87","5.45","8.47","6.84"
"06025","13","Imperial","IM","276","14.68","18.72","16.61"
"06027","14","Inyo","IN","14","3.05","10.08","5.76"
"06029","15","Kern","KN","726","8.83","10.27","9.53"
"06031","16","Kings","KG","120","7.31","10.75","8.91"
"06033","17","Lake","LK","74","8.04","13.29","10.42"
"06035","18","Lassen","LS","28","5.23","11.59","7.95"
"06037","19","Los Angeles","LA","10800","10.63","11.04","10.84"
"06039","20","Madera","MA","169","9.79","13.34","11.46"
"06041","21","Marin","MR","142","4.40","6.25","5.27"
"06043","22","Mariposa","MP","20","6.39","17.81","11.10"
"06045","23","Mendocino","MD","58","4.59","7.96","6.10"
"06047","24","Merced","ME","292","11.48","14.58","12.96"
"06049","25","Modoc","MO","null","null","null","null"
"06051","26","Mono","MN","null","null","null","null"
"06053","27","Monterey","MT","309","6.55","8.24","7.36"
"06055","28","Napa","NA","92","5.24","8.02","6.52"
"06057","29","Nevada","NE","75","5.34","9.04","7.02"
"06059","30","Orange","OR","1823","5.91","6.48","6.19"
"06061","31","Placer","PL","118","2.98","4.34","3.61"
"06063","32","Plumas","PM","13","3.03","10.85","6.09"
"06065","33","Riverside","RI","1614","7.85","8.67","8.25"
"06067","34","Sacramento","SA","1326","9.10","10.15","9.61"
"06069","35","San Benito","ST","33","4.21","8.77","6.19"
"06071","36","San Bernardino","SR","2075","10.27","11.22","10.73"
"06073","37","San Diego","SD","1890","5.91","6.48","6.19"
"06075","38","San Francisco","SF","652","7.98","9.40","8.67"
"06077","39","San Joaquin","SJ","815","11.60","13.37","12.46"
"06079","40","San Luis Obispo","SL","112","3.83","5.66","4.68"
"06081","41","San Mateo","SM","529","6.56","7.81","7.17"
"06083","42","Santa Barbara","SB","211","4.31","5.68","4.96"
"06085","43","Santa Clara","SC","1245","6.64","7.44","7.03"
"06087","44","Santa Cruz","SZ","145","4.98","7.00","5.93"
"06089","45","Shasta","SH","186","8.52","11.53","9.94"
"06091","46","Sierra","SI","null","null","null","null"
"06093","47","Siskiyou","SK","17","1.97","5.77","3.51"
"06095","48","Solano","SO","377","8.33","10.25","9.26"
"06097","49","Sonoma","SN","285","5.24","6.66","5.92"
"06099","50","Stanislaus","SS","485","8.52","10.24","9.35"
"06101","51","Sutter","SU","82","6.76","10.59","8.51"
"06103","52","Tehama","TE","39","4.38","8.51","6.20"
"06105","53","Trinity","TR","null","null","null","null"
"06107","54","Tulare","TU","377","8.47","10.45","9.42"
"06109","55","Tuolumne","TO","24","2.33","5.86","3.81"
"06111","56","Ventura","VE","489","5.58","6.69","6.12"
"06113","57","Yolo","YO","112","5.46","8.02","6.65"
"06115","58","Yuba","YU","86","9.89","15.36","12.41"
