"cnty_fips","cnty_id","cnty_name","cnty_abbr","Lower 95% Limit","Age Adj. Rate per 10000","Total Number","Upper 95% Limit"
"06000","00","CALIFORNIA","","43.67","43.67","166891","43.88"
"06001","01","Alameda","AL","63.53","64.81","9804","66.12"
"06003","02","Alpine","AP","null","null","null","null"
"06005","03","Amador","AM","32.70","39.28","143","46.74"
"06007","04","Butte","BU","44.25","47.17","1029","50.22"
"06009","05","Calaveras","CA","47.80","55.69","210","64.43"
"06011","06","Colusa","CO","36.06","44.41","101","54.10"
"06013","07","Contra Costa","CC","63.17","64.73","6647","66.33"
"06015","08","Del Norte","DN","43.80","51.78","155","60.78"
"06017","09","El Dorado","ED","31.27","34.15","580","37.23"
"06019","10","Fresno","FR","61.62","63.21","6237","64.82"
"06021","11","Glenn","GL","24.08","29.97","92","36.87"
"06023","12","Humboldt","HU","57.08","61.34","809","65.82"
"06025","13","Imperial","IM","79.93","84.19","1495","88.63"
"06027","14","Inyo","IN","43.52","54.70","93","67.75"
"06029","15","Kern","KN","39.98","41.36","3556","42.78"
"06031","16","Kings","KG","59.34","63.24","1032","67.35"
"06033","17","Lake","LK","52.40","58.75","352","65.63"
"06035","18","Lassen","LS","28.11","34.28","116","41.37"
"06037","19","Los Angeles","LA","43.77","44.17","45786","44.58"
"06039","20","Madera","MA","65.18","69.30","1068","73.62"
"06041","21","Marin","MR","25.09","27.20","666","29.44"
"06043","22","Mariposa","MP","33.22","43.45","75","55.67"
"06045","23","Mendocino","MD","55.51","60.68","537","66.19"
"06047","24","Merced","ME","70.17","73.45","1976","76.85"
"06049","25","Modoc","MO","32.11","45.22","44","61.65"
"06051","26","Mono","MN","10.31","16.45","23","24.92"
"06053","27","Monterey","MT","41.21","43.16","1886","45.18"
"06055","28","Napa","NA","30.56","33.59","466","36.83"
"06057","29","Nevada","NE","51.53","57.10","460","63.06"
"06059","30","Orange","OR","28.22","28.81","9005","29.42"
"06061","31","Placer","PL","27.02","28.89","932","30.85"
"06063","32","Plumas","PM","38.72","48.68","101","60.30"
"06065","33","Riverside","RI","38.93","39.78","8532","40.64"
"06067","34","Sacramento","SA","52.90","54.11","7650","55.35"
"06069","35","San Benito","ST","39.86","45.14","275","50.94"
"06071","36","San Bernardino","SR","52.51","53.50","11405","54.51"
"06073","37","San Diego","SD","34.50","35.16","11006","35.82"
"06075","38","San Francisco","SF","35.51","36.99","2755","38.51"
"06077","39","San Joaquin","SJ","55.68","57.49","4027","59.35"
"06079","40","San Luis Obispo","SL","35.09","37.54","948","40.11"
"06081","41","San Mateo","SM","33.43","34.80","2508","36.20"
"06083","42","Santa Barbara","SB","22.96","24.43","1037","25.97"
"06085","43","Santa Clara","SC","28.63","29.43","5254","30.24"
"06087","44","Santa Cruz","SZ","34.61","36.98","939","39.48"
"06089","45","Shasta","SH","60.55","64.38","1132","68.37"
"06091","46","Sierra","SI","null","null","null","null"
"06093","47","Siskiyou","SK","32.23","38.16","169","44.83"
"06095","48","Solano","SO","52.34","54.56","2323","56.84"
"06097","49","Sonoma","SN","37.17","38.95","1860","40.80"
"06099","50","Stanislaus","SS","44.28","46.10","2507","47.98"
"06101","51","Sutter","SU","31.68","35.38","343","39.39"
"06103","52","Tehama","TE","65.06","71.83","433","79.08"
"06105","53","Trinity","TR","34.15","46.00","60","60.42"
"06107","54","Tulare","TU","44.98","47.01","2143","49.10"
"06109","55","Tuolumne","TO","57.84","65.09","336","72.95"
"06111","56","Ventura","VE","32.47","33.72","2790","35.01"
"06113","57","Yolo","YO","28.89","31.41","601","34.08"
"06115","58","Yuba","YU","45.06","50.08","374","55.51"
