"cnty_fips","cnty_id","cnty_name","cnty_abbr","Lower 95% Limit","Age Adj. Rate per 10000","Total Number","Upper 95% Limit"
"06000","00","CALIFORNIA","","42.59","42.59","159754","42.80"
"06001","01","Alameda","AL","60.60","61.87","9222","63.15"
"06003","02","Alpine","AP","null","null","null","null"
"06005","03","Amador","AM","38.90","46.41","152","54.86"
"06007","04","Butte","BU","37.64","40.38","849","43.26"
"06009","05","Calaveras","CA","45.81","53.69","197","62.45"
"06011","06","Colusa","CO","41.54","50.89","106","61.68"
"06013","07","Contra Costa","CC","65.55","67.15","6747","68.79"
"06015","08","Del Norte","DN","56.98","66.21","192","76.48"
"06017","09","El Dorado","ED","34.77","37.88","614","41.18"
"06019","10","Fresno","FR","59.63","61.22","5803","62.84"
"06021","11","Glenn","GL","17.96","23.20","68","29.49"
"06023","12","Humboldt","HU","54.33","58.53","746","62.97"
"06025","13","Imperial","IM","77.11","81.41","1380","85.88"
"06027","14","Inyo","IN","39.08","49.51","87","61.78"
"06029","15","Kern","KN","38.39","39.77","3310","41.18"
"06031","16","Kings","KG","56.10","60.05","916","64.22"
"06033","17","Lake","LK","71.06","78.58","447","86.65"
"06035","18","Lassen","LS","27.44","33.56","112","40.62"
"06037","19","Los Angeles","LA","42.40","42.80","44267","43.20"
"06039","20","Madera","MA","53.82","57.65","856","61.67"
"06041","21","Marin","MR","30.88","33.22","808","35.68"
"06043","22","Mariposa","MP","44.90","56.60","93","70.26"
"06045","23","Mendocino","MD","58.24","63.56","552","69.23"
"06047","24","Merced","ME","53.41","56.33","1461","59.37"
"06049","25","Modoc","MO","17.49","28.52","22","43.37"
"06051","26","Mono","MN","7.18","12.43","17","20.10"
"06053","27","Monterey","MT","37.89","39.76","1727","41.70"
"06055","28","Napa","NA","40.83","44.39","589","48.16"
"06057","29","Nevada","NE","40.29","45.15","382","50.39"
"06059","30","Orange","OR","27.19","27.78","8497","28.38"
"06061","31","Placer","PL","24.04","25.86","788","27.78"
"06063","32","Plumas","PM","43.92","54.92","100","67.67"
"06065","33","Riverside","RI","37.09","37.94","7678","38.80"
"06067","34","Sacramento","SA","48.34","49.50","6898","50.69"
"06069","35","San Benito","ST","41.08","46.48","277","52.41"
"06071","36","San Bernardino","SR","48.61","49.58","10242","50.56"
"06073","37","San Diego","SD","33.63","34.29","10595","34.95"
"06075","38","San Francisco","SF","31.90","33.31","2415","34.77"
"06077","39","San Joaquin","SJ","57.35","59.23","3917","61.15"
"06079","40","San Luis Obispo","SL","36.61","39.15","953","41.80"
"06081","41","San Mateo","SM","39.37","40.86","2915","42.38"
"06083","42","Santa Barbara","SB","26.07","27.65","1163","29.29"
"06085","43","Santa Clara","SC","27.22","28.00","4948","28.79"
"06087","44","Santa Cruz","SZ","30.82","33.05","840","35.41"
"06089","45","Shasta","SH","53.73","57.35","992","61.13"
"06091","46","Sierra","SI","63.20","106.36","22","164.00"
"06093","47","Siskiyou","SK","37.13","43.67","182","50.97"
"06095","48","Solano","SO","61.08","63.50","2650","65.98"
"06097","49","Sonoma","SN","44.81","46.79","2164","48.83"
"06099","50","Stanislaus","SS","43.72","45.56","2387","47.46"
"06101","51","Sutter","SU","29.36","33.00","305","36.97"
"06103","52","Tehama","TE","60.68","67.26","396","74.32"
"06105","53","Trinity","TR","23.24","32.63","46","44.46"
"06107","54","Tulare","TU","51.97","54.17","2403","56.44"
"06109","55","Tuolumne","TO","57.35","64.63","323","72.53"
"06111","56","Ventura","VE","33.73","35.01","2851","36.33"
"06113","57","Yolo","YO","36.51","39.39","732","42.42"
"06115","58","Yuba","YU","43.55","48.57","350","54.03"
