"cnty_fips","cnty_id","cnty_name","cnty_abbr","Total Number","Lower 95% Limit","Upper 95% Limit","Age Adj. Rate per 10000"
"06000","00","CALIFORNIA","","35983","9.32","9.52","9.42"
"06001","01","Alameda","AL","2065","13.11","14.31","13.70"
"06003","02","Alpine","AP","null","null","null","null"
"06005","03","Amador","AM","18","2.42","7.14","4.34"
"06007","04","Butte","BU","210","8.32","11.04","9.61"
"06009","05","Calaveras","CA","26","3.23","8.22","5.33"
"06011","06","Colusa","CO","15","3.87","11.57","6.99"
"06013","07","Contra Costa","CC","1186","10.45","11.74","11.08"
"06015","08","Del Norte","DN","20","3.93","10.19","6.53"
"06017","09","El Dorado","ED","101","4.30","6.55","5.34"
"06019","10","Fresno","FR","1224","11.80","13.24","12.50"
"06021","11","Glenn","GL","15","2.66","7.93","4.78"
"06023","12","Humboldt","HU","119","7.27","10.61","8.83"
"06025","13","Imperial","IM","270","13.26","16.94","15.02"
"06027","14","Inyo","IN","13","3.43","11.82","6.72"
"06029","15","Kern","KN","847","9.93","11.42","10.66"
"06031","16","Kings","KG","153","9.05","12.74","10.78"
"06033","17","Lake","LK","90","10.86","17.12","13.73"
"06035","18","Lassen","LS","28","5.02","11.13","7.63"
"06037","19","Los Angeles","LA","11782","11.32","11.74","11.53"
"06039","20","Madera","MA","152","8.31","11.52","9.82"
"06041","21","Marin","MR","120","3.35","4.93","4.08"
"06043","22","Mariposa","MP","17","4.01","12.64","7.43"
"06045","23","Mendocino","MD","42","3.25","6.20","4.55"
"06047","24","Merced","ME","310","11.04","13.93","12.42"
"06049","25","Modoc","MO","null","null","null","null"
"06051","26","Mono","MN","null","null","null","null"
"06053","27","Monterey","MT","284","5.77","7.34","6.52"
"06055","28","Napa","NA","91","4.64","7.13","5.78"
"06057","29","Nevada","NE","65","4.65","8.24","6.26"
"06059","30","Orange","OR","2061","6.40","6.98","6.69"
"06061","31","Placer","PL","171","3.91","5.34","4.58"
"06063","32","Plumas","PM","17","3.76","11.73","6.94"
"06065","33","Riverside","RI","1717","7.72","8.50","8.11"
"06067","34","Sacramento","SA","1367","9.06","10.09","9.57"
"06069","35","San Benito","ST","42","5.01","9.58","7.03"
"06071","36","San Bernardino","SR","2435","11.51","12.49","11.99"
"06073","37","San Diego","SD","2417","7.38","8.01","7.69"
"06075","38","San Francisco","SF","674","7.83","9.20","8.49"
"06077","39","San Joaquin","SJ","766","10.13","11.74","10.91"
"06079","40","San Luis Obispo","SL","129","4.18","6.05","5.06"
"06081","41","San Mateo","SM","486","5.91","7.09","6.48"
"06083","42","Santa Barbara","SB","154","2.94","4.07","3.47"
"06085","43","Santa Clara","SC","1252","6.54","7.32","6.92"
"06087","44","Santa Cruz","SZ","144","4.67","6.59","5.57"
"06089","45","Shasta","SH","159","7.00","9.73","8.28"
"06091","46","Sierra","SI","null","null","null","null"
"06093","47","Siskiyou","SK","20","3.01","8.14","5.16"
"06095","48","Solano","SO","339","7.21","8.98","8.06"
"06097","49","Sonoma","SN","294","5.46","6.92","6.16"
"06099","50","Stanislaus","SS","593","10.13","11.95","11.01"
"06101","51","Sutter","SU","92","7.29","11.15","9.06"
"06103","52","Tehama","TE","47","5.32","9.80","7.32"
"06105","53","Trinity","TR","null","null","null","null"
"06107","54","Tulare","TU","489","10.52","12.66","11.56"
"06109","55","Tuolumne","TO","26","2.23","5.34","3.52"
"06111","56","Ventura","VE","653","7.21","8.44","7.81"
"06113","57","Yolo","YO","81","3.64","5.73","4.60"
"06115","58","Yuba","YU","82","8.57","13.47","10.82"
