"cnty_fips","cnty_id","cnty_name","cnty_abbr","Total Number","Lower 95% Limit","Upper 95% Limit","Age Adj. Rate per 10000"
"06000","00","CALIFORNIA","","34022","8.96","9.15","9.05"
"06001","01","Alameda","AL","2225","14.23","15.48","14.85"
"06003","02","Alpine","AP","null","null","null","null"
"06005","03","Amador","AM","34","5.05","10.87","7.55"
"06007","04","Butte","BU","246","9.96","12.92","11.37"
"06009","05","Calaveras","CA","24","2.91","7.65","4.88"
"06011","06","Colusa","CO","13","3.14","10.21","5.95"
"06013","07","Contra Costa","CC","1138","10.16","11.44","10.79"
"06015","08","Del Norte","DN","25","5.11","11.84","7.97"
"06017","09","El Dorado","ED","121","5.30","7.79","6.46"
"06019","10","Fresno","FR","1106","11.05","12.48","11.75"
"06021","11","Glenn","GL","18","3.36","9.05","5.69"
"06023","12","Humboldt","HU","90","5.60","8.65","7.01"
"06025","13","Imperial","IM","200","10.00","13.30","11.57"
"06027","14","Inyo","IN","null","null","null","null"
"06029","15","Kern","KN","778","9.52","11.01","10.25"
"06031","16","Kings","KG","127","7.42","10.78","8.98"
"06033","17","Lake","LK","50","4.39","8.07","6.01"
"06035","18","Lassen","LS","15","2.54","7.65","4.61"
"06037","19","Los Angeles","LA","10800","10.53","10.94","10.73"
"06039","20","Madera","MA","128","6.77","9.65","8.11"
"06041","21","Marin","MR","124","3.57","5.21","4.33"
"06043","22","Mariposa","MP","21","5.80","15.69","9.85"
"06045","23","Mendocino","MD","24","1.58","3.78","2.51"
"06047","24","Merced","ME","354","13.43","16.68","14.99"
"06049","25","Modoc","MO","null","null","null","null"
"06051","26","Mono","MN","null","null","null","null"
"06053","27","Monterey","MT","310","6.45","8.11","7.24"
"06055","28","Napa","NA","83","4.35","6.84","5.49"
"06057","29","Nevada","NE","65","4.84","8.51","6.50"
"06059","30","Orange","OR","1884","5.95","6.52","6.23"
"06061","31","Placer","PL","167","4.02","5.52","4.73"
"06063","32","Plumas","PM","12","2.59","10.67","5.71"
"06065","33","Riverside","RI","1715","7.94","8.74","8.34"
"06067","34","Sacramento","SA","1264","8.48","9.48","8.97"
"06069","35","San Benito","ST","31","3.76","8.02","5.61"
"06071","36","San Bernardino","SR","2289","11.04","12.01","11.52"
"06073","37","San Diego","SD","2258","6.96","7.57","7.26"
"06075","38","San Francisco","SF","642","7.21","8.49","7.83"
"06077","39","San Joaquin","SJ","750","10.26","11.90","11.06"
"06079","40","San Luis Obispo","SL","129","4.06","5.86","4.90"
"06081","41","San Mateo","SM","473","5.64","6.79","6.20"
"06083","42","Santa Barbara","SB","147","2.89","4.03","3.42"
"06085","43","Santa Clara","SC","1286","6.77","7.56","7.16"
"06087","44","Santa Cruz","SZ","148","4.95","6.94","5.88"
"06089","45","Shasta","SH","240","10.56","13.79","12.09"
"06091","46","Sierra","SI","null","null","null","null"
"06093","47","Siskiyou","SK","30","4.13","9.33","6.36"
"06095","48","Solano","SO","293","6.27","7.93","7.06"
"06097","49","Sonoma","SN","295","5.23","6.64","5.90"
"06099","50","Stanislaus","SS","539","9.30","11.07","10.16"
"06101","51","Sutter","SU","119","9.82","14.24","11.88"
"06103","52","Tehama","TE","45","5.33","9.91","7.37"
"06105","53","Trinity","TR","null","null","null","null"
"06107","54","Tulare","TU","432","9.39","11.43","10.37"
"06109","55","Tuolumne","TO","25","2.24","5.55","3.62"
"06111","56","Ventura","VE","500","5.58","6.67","6.11"
"06113","57","Yolo","YO","86","3.83","5.96","4.81"
"06115","58","Yuba","YU","80","8.70","13.75","11.02"
