"cnty_fips","cnty_id","cnty_name","cnty_abbr","Lower 95% Limit","Age Adj. Rate per 10000","Total Number","Upper 95% Limit"
"06000","00","CALIFORNIA","","44.73","44.73","166208","44.94"
"06001","01","Alameda","AL","62.83","64.12","9513","65.43"
"06003","02","Alpine","AP","null","null","null","null"
"06005","03","Amador","AM","37.54","45.19","140","53.84"
"06007","04","Butte","BU","48.63","51.78","1055","55.08"
"06009","05","Calaveras","CA","40.07","47.14","193","55.03"
"06011","06","Colusa","CO","39.01","47.82","105","58.05"
"06013","07","Contra Costa","CC","59.52","61.05","6143","62.61"
"06015","08","Del Norte","DN","76.91","87.64","249","99.44"
"06017","09","El Dorado","ED","30.03","32.92","529","36.01"
"06019","10","Fresno","FR","58.08","59.66","5538","61.28"
"06021","11","Glenn","GL","28.88","35.49","102","43.15"
"06023","12","Humboldt","HU","58.71","63.06","811","67.64"
"06025","13","Imperial","IM","84.13","88.69","1461","93.42"
"06027","14","Inyo","IN","60.81","74.54","116","90.24"
"06029","15","Kern","KN","42.27","43.73","3534","45.22"
"06031","16","Kings","KG","63.63","67.88","1012","72.36"
"06033","17","Lake","LK","63.60","70.92","384","78.80"
"06035","18","Lassen","LS","33.98","40.59","140","48.11"
"06037","19","Los Angeles","LA","46.04","46.46","47968","46.88"
"06039","20","Madera","MA","50.73","54.49","793","58.45"
"06041","21","Marin","MR","28.27","30.49","742","32.84"
"06043","22","Mariposa","MP","32.18","42.05","70","53.86"
"06045","23","Mendocino","MD","54.38","59.47","527","64.89"
"06047","24","Merced","ME","49.18","52.06","1278","55.07"
"06049","25","Modoc","MO","26.48","39.53","34","56.30"
"06051","26","Mono","MN","9.52","15.74","20","24.48"
"06053","27","Monterey","MT","38.31","40.18","1757","42.13"
"06055","28","Napa","NA","40.69","44.25","582","48.03"
"06057","29","Nevada","NE","37.52","42.00","382","46.86"
"06059","30","Orange","OR","30.89","31.52","9610","32.16"
"06061","31","Placer","PL","25.34","27.21","816","29.18"
"06063","32","Plumas","PM","43.74","54.33","104","66.58"
"06065","33","Riverside","RI","40.56","41.47","8076","42.39"
"06067","34","Sacramento","SA","45.49","46.62","6443","47.78"
"06069","35","San Benito","ST","38.37","43.60","257","49.38"
"06071","36","San Bernardino","SR","55.02","56.06","11359","57.12"
"06073","37","San Diego","SD","35.42","36.09","11056","36.78"
"06075","38","San Francisco","SF","36.74","38.26","2742","39.83"
"06077","39","San Joaquin","SJ","51.30","53.08","3503","54.90"
"06079","40","San Luis Obispo","SL","36.28","38.81","934","41.45"
"06081","41","San Mateo","SM","41.61","43.14","3053","44.72"
"06083","42","Santa Barbara","SB","27.82","29.46","1225","31.16"
"06085","43","Santa Clara","SC","28.57","29.37","5138","30.19"
"06087","44","Santa Cruz","SZ","29.93","32.15","804","34.49"
"06089","45","Shasta","SH","54.38","58.06","977","61.91"
"06091","46","Sierra","SI","null","null","null","null"
"06093","47","Siskiyou","SK","37.00","43.62","175","51.01"
"06095","48","Solano","SO","56.51","58.83","2461","61.21"
"06097","49","Sonoma","SN","45.07","47.05","2185","49.09"
"06099","50","Stanislaus","SS","44.97","46.85","2418","48.79"
"06101","51","Sutter","SU","24.59","27.93","258","31.59"
"06103","52","Tehama","TE","67.54","74.54","431","82.05"
"06105","53","Trinity","TR","28.89","39.88","52","53.49"
"06107","54","Tulare","TU","58.75","61.12","2629","63.56"
"06109","55","Tuolumne","TO","57.08","64.41","309","72.35"
"06111","56","Ventura","VE","36.60","37.94","3076","39.31"
"06113","57","Yolo","YO","31.50","34.20","615","37.07"
"06115","58","Yuba","YU","41.23","46.24","317","51.70"
